Id,Start,Name,Impact,Currency
3053c490-76d3-44c8-9326-bfd2e3ef46de,05/31/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
50192495-b3ed-48de-bdb5-bb4a84ea6b1b,05/31/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
de927088-c7d5-49d3-84d1-5adab864d7df,05/31/2018 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
0175a1a6-80e9-4c1e-bc17-2678fe319c32,06/01/2018 00:00:00,G7 Meeting,HIGH,EUR
8dfe3377-99b0-4ad5-b328-1603c26bc4b0,06/01/2018 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
355419fe-e40b-4e35-b7c8-fa6339d1ffd9,06/01/2018 12:30:00,Nonfarm Payrolls,HIGH,USD
e768938e-39f8-41d9-8be9-9b9cc2698627,06/01/2018 14:00:00,ISM Manufacturing PMI,HIGH,USD
fa43a9c0-81ad-4ae7-83a3-fa3438994978,06/02/2018 00:00:00,G7 Meeting,HIGH,EUR
eb950935-6a7a-41aa-b010-e1aa5da5c7e9,06/07/2018 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
19e175c8-facc-405c-83cc-310665c94664,06/07/2018 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
71f39efb-80c8-42f9-965b-05e689c2479d,06/08/2018 00:00:00,G7 Meeting,HIGH,EUR
a5bbb85c-481d-4bdd-b81e-b026c4995d75,06/09/2018 00:00:00,G7 Meeting,HIGH,EUR
d22fed60-3e5f-47ca-89de-73f49f73295f,06/12/2018 01:00:00,Trump - Kim Meeting,HIGH,USD
583a384b-e303-466e-9256-35a8bf741858,06/12/2018 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f929ada5-03f5-444d-8cff-4789418ff96d,06/13/2018 18:00:00,Fed Interest Rate Decision,HIGH,USD
df4034e7-b3d4-46ed-acc2-50a19c42512c,06/13/2018 18:00:00,Fed Monetary Policy Statement,HIGH,USD
0e89e3e2-95f3-4e02-963e-eeebcf7466d9,06/13/2018 18:00:00,FOMC Economic Projections,HIGH,USD
c54b0906-b326-449f-8539-c7a0545f16a9,06/13/2018 18:30:00,FOMC Press Conference,HIGH,USD
fa39ec5e-0db4-4ddf-86d8-d8d871688187,06/14/2018 11:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
d2c31220-d51e-461f-9cd7-4bc1cdcd2488,06/14/2018 11:45:00,ECB Rate On Deposit Facility,HIGH,EUR
ff377049-395c-428c-96b4-972343afa8a3,06/14/2018 12:30:00,ECB Press Conference,HIGH,EUR
e7f4f21c-de3d-4793-8ddc-3d7222f3f905,06/14/2018 12:30:00,Retail Sales Control Group,HIGH,USD
9eebd796-8b00-4cf9-8ec7-9fac466c21b2,06/14/2018 12:30:00,Retail Sales ex Autos (MoM),HIGH,USD
aa72625c-bc20-4269-ae15-65db339423c0,06/15/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
926b8b40-a1c8-4952-854c-3e049e5c5993,06/15/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
9185336d-f9d4-4266-8811-1cfbc89eff3c,06/18/2018 17:30:00,ECB's President Draghi speech,HIGH,EUR
6957fbcb-58db-4b59-8e53-35a86b26d52f,06/19/2018 08:00:00,ECB's President Draghi speech,HIGH,EUR
